file,No,variable,source,used,match
experiment_csv,24,D_km,0.17,0.17,True
experiment_csv,25,D_km,0.57,0.57,True
experiment_csv,26,D_km,3.6,3.6,True
experiment_csv,27,D_km,0.87,0.87,True
experiment_csv,28,D_km,0.16,0.16,True
experiment_csv,29,D_km,3.8,3.8,True
experiment_csv,30,D_km,7.6,7.6,True
experiment_csv,31,D_km,10.5,10.5,True
experiment_csv,32,D_km,16.89,16.89,True
experiment_csv,33,D_km,0.13,0.13,True
experiment_csv,34,D_km,0.42,0.42,True
experiment_csv,35,D_km,0.72,0.72,True
experiment_csv,36,D_km,0.47,0.47,True
experiment_csv,37,D_km,0.65,0.65,True
experiment_csv,38,D_km,4.39,4.39,True
experiment_csv,39,D_km,4.93,4.93,True
experiment_csv,40,D_km,2.51,2.51,True
experiment_csv,41,D_km,2.07,2.07,True
experiment_csv,42,D_km,2.61,2.61,True
experiment_csv,43,D_km,0.68,0.68,True
experiment_csv,44,D_km,1.36,1.36,True
experiment_csv,45,D_km,2.1,2.1,True
experiment_csv,46,D_km,1.97,1.97,True
experiment_csv,47,D_km,0.57,0.57,True
experiment_csv,48,D_km,1.68,1.68,True
experiment_csv,49,D_km,1.49,1.49,True
experiment_csv,50,D_km,0.92,0.92,True
experiment_csv,51,D_km,1.53,1.53,True
experiment_csv,52,D_km,1.71,1.71,True
experiment_csv,53,D_km,3.86,3.86,True
experiment_csv,54,D_km,0.91,0.91,True
experiment_csv,55,D_km,1.82,1.82,True
experiment_csv,56,D_km,0.85,0.85,True
experiment_csv,57,D_km,4.8,4.8,True
experiment_csv,58,D_km,0.45,0.45,True
experiment_csv,59,D_km,9.58,9.58,True
experiment_csv,60,D_km,7.04,7.04,True
experiment_csv,1,J_permille,193.42,193.42,True
experiment_csv,2,J_permille,292.75,292.75,True
experiment_csv,3,J_permille,168.47,168.47,True
experiment_csv,4,J_permille,124.14,124.14,True
experiment_csv,5,J_permille,291.88,291.88,True
experiment_csv,6,J_permille,312.9,312.9,True
experiment_csv,7,J_permille,265.56,265.56,True
experiment_csv,8,J_permille,391.67,391.67,True
experiment_csv,9,J_permille,352.49,352.49,True
experiment_csv,10,J_permille,324.14,324.14,True
experiment_csv,11,J_permille,527.27,527.27,True
experiment_csv,12,J_permille,717.57,717.57,True
experiment_csv,13,J_permille,226.93,226.93,True
experiment_csv,14,J_permille,869.57,869.57,True
experiment_csv,15,J_permille,321.66,321.66,True
experiment_csv,16,J_permille,665.75,665.75,True
experiment_csv,17,J_permille,916.96,916.96,True
experiment_csv,18,J_permille,686.51,686.51,True
experiment_csv,19,J_permille,678.21,678.21,True
experiment_csv,20,J_permille,275.71,275.71,True
experiment_csv,21,J_permille,945.59,945.59,True
experiment_csv,22,J_permille,790.54,790.54,True
experiment_csv,23,J_permille,691.04,691.04,True
experiment_csv,24,J_permille,633.33,633.33,True
experiment_csv,25,J_permille,737.84,737.84,True
experiment_csv,26,J_permille,304.08,304.08,True
experiment_csv,27,J_permille,454.44,454.44,True
experiment_csv,28,J_permille,269.4,269.4,True
experiment_csv,29,J_permille,239.55,239.55,True
experiment_csv,30,J_permille,421.15,421.15,True
experiment_csv,31,J_permille,177.91,177.91,True
experiment_csv,32,J_permille,333.93,333.93,True
experiment_csv,33,J_permille,357.78,357.78,True
experiment_csv,34,J_permille,316.49,316.49,True
experiment_csv,35,J_permille,669.12,669.12,True
experiment_csv,36,J_permille,204.23,204.23,True
experiment_csv,37,J_permille,622.78,622.78,True
experiment_csv,38,J_permille,179.81,179.81,True
experiment_csv,39,J_permille,455.22,455.22,True
experiment_csv,40,J_permille,493.53,493.53,True
experiment_csv,41,J_permille,140.0,140.0,True
experiment_csv,42,J_permille,263.7,263.7,True
experiment_csv,43,J_permille,384.19,384.19,True
experiment_csv,44,J_permille,307.69,307.69,True
experiment_csv,45,J_permille,853.33,853.33,True
experiment_csv,46,J_permille,752.38,752.38,True
experiment_csv,47,J_permille,331.69,331.69,True
experiment_csv,48,J_permille,500.0,500.0,True
experiment_csv,49,J_permille,360.67,360.67,True
experiment_csv,50,J_permille,395.29,395.29,True
experiment_csv,51,J_permille,426.38,426.38,True
experiment_csv,52,J_permille,488.21,488.21,True
experiment_csv,53,J_permille,350.42,350.42,True
experiment_csv,54,J_permille,358.68,358.68,True
experiment_csv,55,J_permille,349.21,349.21,True
experiment_csv,56,J_permille,340.74,340.74,True
experiment_csv,57,J_permille,333.33,333.33,True
experiment_csv,58,J_permille,279.3,279.3,True
experiment_csv,59,J_permille,257.65,257.65,True
experiment_csv,60,J_permille,100.92,100.92,True
experiment_csv,1,V_landslide_1e4m3,485.76,485.76,True
experiment_csv,2,V_landslide_1e4m3,49.53,49.53,True
experiment_csv,3,V_landslide_1e4m3,25.58,25.58,True
experiment_csv,4,V_landslide_1e4m3,7.01,7.01,True
experiment_csv,5,V_landslide_1e4m3,1603.25,1603.25,True
experiment_csv,6,V_landslide_1e4m3,920.7,920.7,True
experiment_csv,7,V_landslide_1e4m3,195.9,195.9,True
experiment_csv,8,V_landslide_1e4m3,42.84,42.84,True
experiment_csv,9,V_landslide_1e4m3,996.46,996.46,True
experiment_csv,10,V_landslide_1e4m3,11.6,11.6,True
experiment_csv,11,V_landslide_1e4m3,375.7,375.7,True
experiment_csv,12,V_landslide_1e4m3,35.1,35.1,True
experiment_csv,13,V_landslide_1e4m3,2000.0,2000.0,True
experiment_csv,14,V_landslide_1e4m3,27.66,27.66,True
experiment_csv,15,V_landslide_1e4m3,299.21,299.21,True
experiment_csv,16,V_landslide_1e4m3,64.56,64.56,True
experiment_csv,17,V_landslide_1e4m3,121.23,121.23,True
experiment_csv,18,V_landslide_1e4m3,592.74,592.74,True
experiment_csv,19,V_landslide_1e4m3,112.51,112.51,True
experiment_csv,20,V_landslide_1e4m3,405.1,405.1,True
experiment_csv,21,V_landslide_1e4m3,45.36,45.36,True
experiment_csv,22,V_landslide_1e4m3,34.51,34.51,True
experiment_csv,23,V_landslide_1e4m3,29.84,29.84,True
experiment_csv,24,V_landslide_1e4m3,35.21,35.21,True
experiment_csv,25,V_landslide_1e4m3,30.64,30.64,True
experiment_csv,26,V_landslide_1e4m3,1580.2,1580.2,True
experiment_csv,27,V_landslide_1e4m3,334.3,334.3,True
experiment_csv,28,V_landslide_1e4m3,432.66,432.66,True
experiment_csv,29,V_landslide_1e4m3,964.86,964.86,True
experiment_csv,30,V_landslide_1e4m3,234.64,234.64,True
experiment_csv,31,V_landslide_1e4m3,287.52,287.52,True
experiment_csv,32,V_landslide_1e4m3,358.26,358.26,True
experiment_csv,33,V_landslide_1e4m3,358.14,358.14,True
experiment_csv,34,V_landslide_1e4m3,1151.41,1151.41,True
experiment_csv,35,V_landslide_1e4m3,322.3,322.3,True
experiment_csv,36,V_landslide_1e4m3,2180.57,2180.57,True
experiment_csv,37,V_landslide_1e4m3,222.0,222.0,True
experiment_csv,38,V_landslide_1e4m3,647.48,647.48,True
experiment_csv,39,V_landslide_1e4m3,122.3,122.3,True
experiment_csv,40,V_landslide_1e4m3,321.32,321.32,True
experiment_csv,41,V_landslide_1e4m3,13.8,13.8,True
experiment_csv,42,V_landslide_1e4m3,727.04,727.04,True
experiment_csv,43,V_landslide_1e4m3,742.68,742.68,True
experiment_csv,44,V_landslide_1e4m3,35.93,35.93,True
experiment_csv,45,V_landslide_1e4m3,48.84,48.84,True
experiment_csv,46,V_landslide_1e4m3,17.22,17.22,True
experiment_csv,47,V_landslide_1e4m3,366.67,366.67,True
experiment_csv,48,V_landslide_1e4m3,31.63,31.63,True
experiment_csv,49,V_landslide_1e4m3,858.94,858.94,True
experiment_csv,50,V_landslide_1e4m3,81.4,81.4,True
experiment_csv,51,V_landslide_1e4m3,77.6,77.6,True
experiment_csv,52,V_landslide_1e4m3,191.29,191.29,True
experiment_csv,53,V_landslide_1e4m3,136.02,136.02,True
experiment_csv,54,V_landslide_1e4m3,21.46,21.46,True
experiment_csv,55,V_landslide_1e4m3,19.17,19.17,True
experiment_csv,56,V_landslide_1e4m3,26.13,26.13,True
experiment_csv,57,V_landslide_1e4m3,59.9,59.9,True
experiment_csv,58,V_landslide_1e4m3,270.16,270.16,True
experiment_csv,59,V_landslide_1e4m3,1754.64,1754.64,True
experiment_csv,60,V_landslide_1e4m3,1200.26,1200.26,True
experiment_csv,1,V0_1e4m3,115.11,115.11,True
experiment_csv,2,V0_1e4m3,10.68,10.68,True
experiment_csv,3,V0_1e4m3,6.2,6.2,True
experiment_csv,4,V0_1e4m3,2.8,2.8,True
experiment_csv,5,V0_1e4m3,285.39,285.39,True
experiment_csv,6,V0_1e4m3,213.13,213.13,True
experiment_csv,7,V0_1e4m3,58.81,58.81,True
experiment_csv,8,V0_1e4m3,8.24,8.24,True
experiment_csv,9,V0_1e4m3,182.44,182.44,True
experiment_csv,10,V0_1e4m3,2.82,2.82,True
experiment_csv,11,V0_1e4m3,65.23,65.23,True
experiment_csv,12,V0_1e4m3,7.86,7.86,True
experiment_csv,13,V0_1e4m3,800.0,800.0,True
experiment_csv,14,V0_1e4m3,12.32,12.32,True
experiment_csv,15,V0_1e4m3,69.92,69.92,True
experiment_csv,16,V0_1e4m3,18.12,18.12,True
experiment_csv,17,V0_1e4m3,66.35,66.35,True
experiment_csv,18,V0_1e4m3,166.35,166.35,True
experiment_csv,19,V0_1e4m3,8.56,8.56,True
experiment_csv,20,V0_1e4m3,104.38,104.38,True
experiment_csv,21,V0_1e4m3,6.35,6.35,True
experiment_csv,22,V0_1e4m3,5.34,5.34,True
experiment_csv,23,V0_1e4m3,4.31,4.31,True
experiment_csv,24,V0_1e4m3,5.38,5.38,True
experiment_csv,25,V0_1e4m3,4.71,4.71,True
experiment_csv,26,V0_1e4m3,657.3,657.3,True
experiment_csv,27,V0_1e4m3,156.8,156.8,True
experiment_csv,28,V0_1e4m3,108.61,108.61,True
experiment_csv,29,V0_1e4m3,292.1,292.1,True
experiment_csv,30,V0_1e4m3,51.42,51.42,True
experiment_csv,31,V0_1e4m3,67.93,67.93,True
experiment_csv,32,V0_1e4m3,74.12,74.12,True
experiment_csv,33,V0_1e4m3,98.4,98.4,True
experiment_csv,34,V0_1e4m3,218.72,218.72,True
experiment_csv,35,V0_1e4m3,80.4,80.4,True
experiment_csv,36,V0_1e4m3,505.34,505.34,True
experiment_csv,37,V0_1e4m3,77.3,77.3,True
experiment_csv,38,V0_1e4m3,150.5,150.5,True
experiment_csv,39,V0_1e4m3,92.51,92.51,True
experiment_csv,40,V0_1e4m3,89.16,89.16,True
experiment_csv,41,V0_1e4m3,3.62,3.62,True
experiment_csv,42,V0_1e4m3,108.91,108.91,True
experiment_csv,43,V0_1e4m3,194.52,194.52,True
experiment_csv,44,V0_1e4m3,8.21,8.21,True
experiment_csv,45,V0_1e4m3,15.3,15.3,True
experiment_csv,46,V0_1e4m3,4.38,4.38,True
experiment_csv,47,V0_1e4m3,136.07,136.07,True
experiment_csv,48,V0_1e4m3,8.97,8.97,True
experiment_csv,49,V0_1e4m3,250.06,250.06,True
experiment_csv,50,V0_1e4m3,28.89,28.89,True
experiment_csv,51,V0_1e4m3,16.3,16.3,True
experiment_csv,52,V0_1e4m3,46.67,46.67,True
experiment_csv,53,V0_1e4m3,29.25,29.25,True
