kind,dataset,fold,model,transform,score,budget,best_trial,inner_score,warnings,R2,RMSE,MAE
budget,A,2,RF,raw,RMSE,30,22,-0.21647844879013167,0,0.9071688819437291,0.17709036852802534,0.14787700300703072
budget,A,2,RF,raw,RMSE,100,74,-0.21573959239920462,0,0.9049190086900007,0.17922351955701926,0.14749012682405516
budget,A,2,XGBoost,raw,R2,30,11,0.9096730639087992,0,0.8954279178457553,0.18795592854287219,0.13509885475315164
budget,A,2,XGBoost,raw,R2,100,11,0.9096730639087992,0,0.8954279178457553,0.18795592854287219,0.13509885475315164
budget,A,2,XGBoost,raw,RMSE,30,11,-0.20926408721042059,0,0.8954279178457553,0.18795592854287219,0.13509885475315164
budget,A,2,XGBoost,raw,RMSE,100,11,-0.20926408721042059,0,0.8954279178457553,0.18795592854287219,0.13509885475315164
budget,A,3,RF,raw,R2,30,8,0.9143081843695331,0,0.8456783296457888,0.2970548916096375,0.20517055424519762
budget,A,3,RF,raw,R2,100,61,0.9153308650450933,0,0.846204874346959,0.2965476837538718,0.1998163552785099
budget,A,3,RF,raw,RMSE,30,8,-0.1876055750628535,0,0.8456783296457886,0.29705489160963766,0.20517055424519767
budget,A,3,RF,raw,RMSE,100,84,-0.18643153583000813,0,0.8473298163255045,0.2954611369292471,0.1995015135762359
budget,A,3,XGBoost,raw,R2,30,20,0.8938136899729999,0,0.915500292510651,0.2198117244633893,0.1706891797083455
budget,A,3,XGBoost,raw,R2,100,91,0.9135067796763044,0,0.8991406236952947,0.24014933575224584,0.20964975576577957
budget,A,3,XGBoost,raw,RMSE,30,20,-0.20867037633607025,0,0.915500292510651,0.2198117244633893,0.1706891797083455
budget,A,3,XGBoost,raw,RMSE,100,75,-0.1887397670332079,0,0.876650719991264,0.2655776722376619,0.21911191610152023
budget,A,4,RF,raw,R2,30,11,0.9185988371932964,0,0.7272055558436097,0.3272954323335835,0.23311197964094477
budget,A,4,RF,raw,R2,100,90,0.9188597576677945,0,0.7268957257362074,0.3274812447724886,0.23334540433770704
budget,A,4,RF,raw,RMSE,30,27,-0.195291573577468,0,0.729341648554849,0.32601148500115534,0.23275656604504025
budget,A,4,RF,raw,RMSE,100,41,-0.1949987566817426,0,0.7268957257362074,0.3274812447724886,0.23334540433770704
budget,A,4,XGBoost,raw,R2,30,15,0.9089495835358408,0,0.7975277561055225,0.2819713164118516,0.2116981193743405
budget,A,4,XGBoost,raw,R2,100,71,0.9100002766353041,0,0.8333127404697582,0.2558429105795301,0.19535772952658506
budget,A,4,XGBoost,raw,RMSE,30,15,-0.20675307282762856,0,0.7975277561055225,0.2819713164118516,0.2116981193743405
budget,A,4,XGBoost,raw,RMSE,100,62,-0.19225340133077204,0,0.8131458319747039,0.2708779030682985,0.2029499108912803
budget,B,0,RF,raw,R2,30,11,0.7088962293148923,0,0.5825702984025399,0.3906585422633608,0.3083946721072478
budget,B,0,RF,raw,R2,100,95,0.71153554325723,0,0.5767868198667838,0.39335551515599926,0.30274822955973807
budget,B,0,RF,raw,RMSE,30,19,-0.3517969854450042,0,0.5913959631779278,0.3865066565947754,0.303558974666697
budget,B,0,RF,raw,RMSE,100,53,-0.35096779283419627,0,0.5850865447377693,0.3894793269821742,0.3063079020629773
budget,B,0,XGBoost,raw,R2,30,22,0.7080958239569681,0,0.5007550706102422,0.4272307295558476,0.31265446722524975
budget,B,0,XGBoost,raw,R2,100,98,0.7117520859647399,0,0.45201897790797907,0.4475982815649467,0.32816131622599304
budget,B,0,XGBoost,raw,RMSE,30,11,-0.35545517105832536,0,0.5271443227853005,0.41578608927110156,0.2977192725515883
budget,B,0,XGBoost,raw,RMSE,100,73,-0.3538581927027676,0,0.5199875537533327,0.41892077724960364,0.3074781029299332
budget,B,1,RF,raw,R2,30,26,0.49045578976301424,0,0.7314501719002502,0.30093527317415475,0.18454884291930052
budget,B,1,RF,raw,R2,100,63,0.5053293572920862,0,0.6303038643193378,0.35308812471648626,0.22396118543660326
budget,B,1,RF,raw,RMSE,30,26,-0.4159534322438123,0,0.7314501719002502,0.3009352731741548,0.18454884291930063
budget,B,1,RF,raw,RMSE,100,98,-0.4122249230616766,0,0.6431863006320018,0.34688172154579844,0.20255783893690174
budget,B,1,XGBoost,raw,R2,30,22,0.5222880962434862,0,0.679676102012491,0.3286664138648761,0.22615202881351637
budget,B,1,XGBoost,raw,R2,100,42,0.5510865313626773,0,0.7071149106506731,0.31427460344728125,0.22487543143287833
