No,Region,A_km2,H_m,L_km,D_km,J_permille,V_landslide_1e4m3
31,Yingxiu,0.07567247933271254,0.05695378924878021,0.15123731641517116,0.04011840043239897,0.04473474564968341,-0.09002078638090817
32,Yingxiu,0.07306285451113208,0.06258869886218008,0.16027214548296786,0.03555842245836644,0.00832325677945043,0.040010919085334974
33,Yingxiu,0.10870986102937485,0.10051367619052498,0.10791550716489921,-0.0031232633353766854,0.021568878434487935,0.060012443983052305
34,Yingxiu,0.17257190190938715,0.06969678504514089,0.16868880571066527,0.006500954298254731,0.04740366300173206,0.361631277373113
35,Yingxiu,-0.011353049681363548,0.06753469166701585,0.054527578299537,-0.0034755745948274012,-0.0332430707693985,0.286177048304127
36,Yingxiu,0.3097894558971828,0.14167765924094894,0.24653187098508747,0.008932876239090868,0.046003379039602346,0.3943071928361801
37,Yingxiu,-0.28872257985596883,0.1562445353427039,-0.0799850676287169,-0.023021393116700716,-0.017496909663911656,0.4249988674363054
38,Yingxiu,0.12129612053174114,0.08303650003344488,0.15587843555556577,0.0397255706326295,0.05439283752087446,0.1549355100023367
39,Yingxiu,-0.03161236123275296,0.11801198467126468,0.038345545412605146,0.05311219336605766,-0.008898322143492607,-0.14459635549467562
40,Yingxiu,0.11978798075014574,0.04108656814389028,0.10059956438818607,-0.010301251218653776,0.005468991823126152,0.09557284273899073
41,Yingxiu,-0.14603875852704323,0.0892059178180354,-0.2962074538347617,-0.026214375926097294,-0.04793944048745556,-0.544829618890183
42,Yingxiu,0.18605362917276835,0.07429535687456378,0.17016458644198776,0.0006852994814017369,0.046043900846281315,0.194759904846756
43,Road 213,0.2172242140412334,0.1283196446270603,0.17925227574995334,-0.007368770749365919,0.0015020415539247398,0.17332192448998648
44,Road 213,-0.20925256391333416,0.09546847980434756,0.12292960885491318,-0.024900178502609567,0.015454515451955078,-0.5927583292215397
45,Road 213,-0.16619965921293536,0.06377162105320539,-0.044145317025195155,-0.036838292328561326,-0.05989453407757112,-0.23925815138345236
46,Road 213,-0.29466383762876736,0.0707967904183367,-0.022024882422965766,-0.03754031144479075,-0.04605197971563159,-0.5611183713047507
47,Road 213,0.21276330078367875,0.15834088646649133,0.20622596287297223,-0.015391749136936368,0.017455930416698337,-0.14597807837849888
48,Longchi,-0.21237053384053378,-0.07881243067936951,-0.11521155616474794,-0.01994117131695315,-0.003124244945606735,-0.30524724429452993
49,Longchi,0.20309745616501715,0.05718255022820002,0.16858494416867845,-0.010513355872679372,0.01541605419541883,0.300827534948978
50,Longchi,-0.029084375761226817,0.09285570163453258,0.011286628432212719,-0.01808916248654301,0.012719611937521549,-0.29790755498209986
51,Longchi,-0.07588961352372693,0.0828087939437186,0.007381186041443179,-0.02744639237601662,-0.008665235289105755,-0.25245390924024175
52,Longchi,-0.22740904583410454,0.1401609468027611,-0.037778915658255634,-0.036620794815538524,0.008010174391283138,0.26317094348278375
53,Longchi,0.17359076663539433,0.0455695553910629,0.15406055333095453,0.044518313058462385,0.019392194396850842,-0.41643295070846204
54,Longchi,-0.222951983302909,-0.24948468165982735,-0.13880199541557448,-0.015708906612005028,-0.015244201967712739,-0.29806435585574165
55,Longchi,-0.2238012091348247,-0.2533921190295679,-0.13889832648702227,-0.02561729486271927,0.014412392405822283,-0.3442740598869318
56,Longchi,-0.21824505024997204,-0.2468772434611607,-0.11884225913551522,-0.01952838482044893,0.016012998966413144,-0.2547699972472375
57,Longchi,-0.251617500058886,-0.08209194448722024,-0.0335042329407526,0.05635369115262364,0.014057099836527573,-0.15317737561275716
58,Beichuan,-0.1604724091184632,0.10821270821639874,0.16616089192005715,-0.007548007512436307,0.04056238346338939,0.14754687666861427
59,Beichuan,0.1626520471554272,0.08817381171211473,0.13103923569521428,0.02399973332990076,0.055925625996482736,0.4984221395225816
60,Beichuan,0.27573175587211673,0.08734471209160356,0.22954108657496208,0.05689369323942501,0.05975498591095089,0.16539414607692607
