kind,dataset,fold,model,transform,score,budget,best_trial,inner_score,warnings,R2,RMSE,MAE
transform,A,4,ElasticNet,log,R2,30,1,0.9479213836491889,1,0.8716938526229894,0.22446359601761479,0.1667611550376198
transform,A,4,MLP,raw,R2,30,22,0.8142050512903697,0,0.602710574390909,0.39498052873639056,0.31178390251077953
transform,A,4,MLP,log,R2,30,23,0.9173196254709381,0,0.7919384615651469,0.2858367640573696,0.21229269177185903
transform,B,0,Ridge,raw,R2,30,29,0.40986915091993875,0,-0.11565024470771168,0.6386599519479584,0.5715843868946568
transform,B,0,Ridge,log,R2,30,18,0.6426408347111948,0,0.3208173581243826,0.4983092402285551,0.40085795786854733
transform,B,0,Lasso,raw,R2,30,18,0.3784449839284978,0,-0.12766332374225042,0.6420892209450132,0.560662499622279
transform,B,0,Lasso,log,R2,30,28,0.6823729990240871,1,0.2756481352929786,0.5146126322721306,0.3770033049518691
transform,B,0,ElasticNet,raw,R2,30,13,0.3875830284085686,0,-0.0012141163452876746,0.6050191673428339,0.5481146354356008
transform,B,0,ElasticNet,log,R2,30,27,0.687276720681035,1,0.32848034383629765,0.49549013947686027,0.3814862259047018
transform,B,0,MLP,raw,R2,30,21,0.30308648617503064,1,0.4607917938560927,0.44400094861102,0.347566738974219
transform,B,0,MLP,log,R2,30,21,0.5774607478971752,0,0.11333424074122256,0.5693582529281572,0.40951831923703513
transform,B,1,Ridge,raw,R2,30,29,0.20167980222588636,0,0.2337376737162079,0.5083342740824248,0.47110761561698383
transform,B,1,Ridge,log,R2,30,26,0.4334087249168199,0,0.7608257691047351,0.28399967879701626,0.22938516479541657
transform,B,1,Lasso,raw,R2,30,14,0.19123110930401355,0,0.10552422183419852,0.5492182350034084,0.5171169081780752
transform,B,1,Lasso,log,R2,30,21,0.319682313649861,1,0.6375833475481503,0.3495946099875307,0.3158222769080447
transform,B,1,ElasticNet,raw,R2,30,24,0.19283127717742,0,0.07998285248995429,0.5570043883525954,0.5224226214213701
transform,B,1,ElasticNet,log,R2,30,29,0.4424843771672789,1,0.7420942180889143,0.2949111516504714,0.24967015521042324
transform,B,1,MLP,raw,R2,30,17,0.17535735147051476,0,0.7490082333735278,0.29093126379128836,0.25368303110232854
transform,B,1,MLP,log,R2,30,7,0.04377904637874652,1,0.49513286308008064,0.4126189855250865,0.36103407252686653
transform,B,2,Ridge,raw,R2,30,16,0.4526742279185469,0,-0.12486449004140754,0.6164505646287481,0.5063935682334701
transform,B,2,Ridge,log,R2,30,23,0.586028523874819,0,0.42819951254737054,0.43951167075634245,0.35078247101123394
transform,B,2,Lasso,raw,R2,30,6,0.43918111090475653,0,-0.311161245729084,0.665543127593382,0.5218621890390701
transform,B,2,Lasso,log,R2,30,14,0.6323479522427443,2,0.44985835736073154,0.4311073339462347,0.3519073909169956
transform,B,2,ElasticNet,raw,R2,30,3,0.4406606533070958,0,-0.43702895065776115,0.6967563091558557,0.5471724418231095
transform,B,2,ElasticNet,log,R2,30,24,0.631292571803668,3,0.4553942362868184,0.4289328101618745,0.3464370243463928
transform,B,2,MLP,raw,R2,30,27,0.504214023591743,2,0.4066075211927257,0.4477330667655094,0.3340524437495261
transform,B,2,MLP,log,R2,30,26,0.6814849554213916,0,0.24656176939369323,0.5045125543608158,0.42110829695746405
transform,B,3,Ridge,raw,R2,30,9,0.32846564580014453,0,0.2862970589562027,0.6388251326570783,0.5801441029257388
transform,B,3,Ridge,log,R2,30,22,0.49167280475582925,0,0.6832573892953433,0.42557538098909015,0.35082517682114567
transform,B,3,Lasso,raw,R2,30,21,0.2692464947695441,0,0.19180317409656455,0.6798010340323261,0.6188883442880436
transform,B,3,Lasso,log,R2,30,21,0.4556264058574732,1,0.6121758655083482,0.4709129857568319,0.39734237127096367
transform,B,3,ElasticNet,raw,R2,30,25,0.3082854088391877,0,0.26759045285284633,0.6471429868031203,0.5897304563807868
transform,B,3,ElasticNet,log,R2,30,29,0.5103980863970489,1,0.6031767487385962,0.4763452140722188,0.405226592061074
transform,B,3,MLP,raw,R2,30,5,0.46723682809582784,0,0.5311055698792181,0.5177984994692543,0.38106680100089996
transform,B,3,MLP,log,R2,30,22,0.40486218629062415,0,0.6364473142434551,0.45593919623568646,0.3528244398762994
transform,B,4,Ridge,raw,R2,30,26,0.29043045894676367,0,0.2724681045979013,0.5345006070570301,0.46696881201503776
transform,B,4,Ridge,log,R2,30,29,0.5633928593212223,0,0.5165058952393468,0.43573031435742526,0.37156426943640103
transform,B,4,Lasso,raw,R2,30,29,0.20571479619587815,0,0.24363878965281072,0.5449878346658757,0.4835823043448444
transform,B,4,Lasso,log,R2,30,26,0.5929754336062194,1,0.4407556752339128,0.46862232747005944,0.39152488882957664
transform,B,4,ElasticNet,raw,R2,30,16,0.2541232301582616,0,0.21205593300223924,0.5562498140102157,0.5026816367838833
transform,B,4,ElasticNet,log,R2,30,23,0.5863993122660076,1,0.42030173290038375,0.47711512570618564,0.4064444092238511
transform,B,4,MLP,raw,R2,30,13,0.2395861177423445,0,0.4272762962225545,0.4742362664628345,0.3471865681131163
transform,B,4,MLP,log,R2,30,26,0.4448689305871973,1,-0.08530657826606891,0.6528274414288683,0.49946093698188654
