fold,model,R2,RMSE,MAE,time_s
3,SVR,0.7928361844189011,0.1821344595727436,0.14504025832885648,0.001188039779663086
3,KNN,0.9143863064078379,0.11708649021724754,0.0892939663886962,0.0008897781372070312
3,RF,0.791741721883495,0.18261494105480497,0.13617379617747835,0.0952763557434082
3,GBR,0.6838963083584766,0.22498313011962426,0.16749887355004367,0.051630258560180664
3,XGBoost,0.7691507708423494,0.19226462496136792,0.1535379294722751,0.12584710121154785
3,AdaBoost,0.7911705308438695,0.18286519904059878,0.1381337447873573,0.16605377197265625
3,MLP,0.6956976832717372,0.220743436939205,0.1732743553269298,0.1373589038848877
4,TabPFN,0.6474108548254334,0.20766495637120438,0.18229662645148947,10.874199390411377
4,Ridge,0.47915223820846675,0.2523969760260316,0.22400398844708289,0.0029985904693603516
4,Lasso,0.47497232148249946,0.2534077225646217,0.2251151261440468,0.002006053924560547
4,ElasticNet,0.4761650936402928,0.253119709615019,0.22467853525326828,0.0010097026824951172
4,SVR,0.6148988153719155,0.21702820251513577,0.19270346016076145,0.00098419189453125
4,KNN,0.5514959762855398,0.2342134967326736,0.19153334430103522,0.0020029544830322266
4,RF,0.7781924645850583,0.16470883459035743,0.14121793071869235,0.10003161430358887
4,GBR,0.7573738214925355,0.17226520890328004,0.13590275960703482,0.04279971122741699
4,XGBoost,0.7765505111715459,0.16531734768425063,0.11297613066112,0.14698433876037598
4,AdaBoost,0.7406817431243725,0.1780923616348012,0.1485517784370106,0.1500236988067627
4,MLP,0.6106238074432068,0.2182294927832896,0.17289385546629563,0.23941421508789062
5,TabPFN,0.7817005592980995,0.1879767711363474,0.15833835367771584,11.22040319442749
5,Ridge,0.7421485846320673,0.20429730318413705,0.17144866915945273,0.013742685317993164
5,Lasso,0.7380051932650042,0.20593217924913146,0.17335392219412038,0.0
5,ElasticNet,0.7399201788210364,0.2051781940592593,0.1720148797970406,0.0
5,SVR,0.7327855817275493,0.20797341251185966,0.16783708230824204,0.0
5,KNN,0.5664362387613442,0.26491366534189426,0.21691290412177675,0.0
5,RF,0.6846046240754915,0.2259464565725411,0.1764038257736986,0.08860158920288086
5,GBR,0.6870995622005278,0.22505100639140807,0.1751656028445402,0.03754234313964844
5,XGBoost,0.6297650821536622,0.24480290203780472,0.1865045848044008,0.12210559844970703
5,AdaBoost,0.6671693836683759,0.23210767888561604,0.18573907973692644,0.13587403297424316
5,MLP,0.6938863235990068,0.22259696599610893,0.18677733913124592,0.13264727592468262
6,TabPFN,0.8108795456189771,0.20622646692618374,0.15906662838881672,11.09760069847107
6,Ridge,0.7870595290880906,0.2188286873645293,0.17493257439683824,0.0030019283294677734
6,Lasso,0.7883405548684983,0.218169470112633,0.17657765989164315,0.00109100341796875
6,ElasticNet,0.7889147454249636,0.21787334365436326,0.17507105991967004,0.0019989013671875
6,SVR,0.7219770516285713,0.250043444242153,0.19691516814705998,0.0009951591491699219
6,KNN,0.6670872514690066,0.2736152904007655,0.2060022347860215,0.002004861831665039
6,RF,0.8845737194446641,0.16111185605213357,0.12152551959707204,0.12624001502990723
6,GBR,0.9032662939610278,0.14749050530415042,0.11236449720185518,0.04912447929382324
