fold,model,n_train,R2
5,TabPFN,10,0.7354223214709583
5,RF,10,0.6449882767197734
5,XGBoost,10,0.8125508187263022
5,SVR,10,0.2750408419357031
5,Ridge,10,0.2103434563455997
5,GBR,10,0.8239629350378219
5,MLP,10,-0.5888006019599763
5,TabPFN,15,0.8613858531026632
5,RF,15,0.8827998342403529
5,XGBoost,15,0.8698370598119913
5,SVR,15,0.7899858518577478
5,Ridge,15,0.4214841570700689
5,GBR,15,0.9096710466629145
5,MLP,15,-0.4660284252798177
5,TabPFN,20,0.9015314099529242
5,RF,20,0.9076090545053248
5,XGBoost,20,0.7945063199038185
5,SVR,20,0.7174340236267243
5,Ridge,20,0.351312277865631
5,GBR,20,0.8987003358995747
5,MLP,20,-0.6537293565861877
5,TabPFN,25,0.7647069869525569
5,RF,25,0.8286551667724518
5,XGBoost,25,0.7712213670620557
5,SVR,25,0.49731645788449896
5,Ridge,25,0.33599214343120043
5,GBR,25,0.6994946997061281
5,MLP,25,-0.5918699216745962
5,TabPFN,30,0.896053250759487
5,RF,30,0.8175747649317845
5,XGBoost,30,0.8100450926214755
5,SVR,30,0.6241724522965784
5,Ridge,30,0.41283185072763173
5,GBR,30,0.7024577947618793
5,MLP,30,-0.04591879710895297
5,TabPFN,35,0.8616054429062248
5,RF,35,0.8890038377930214
5,XGBoost,35,0.8496349313736102
5,SVR,35,0.8041197033175829
5,Ridge,35,0.22108095628236146
5,GBR,35,0.8258073797656224
5,MLP,35,-0.5840814677263362
5,TabPFN,40,0.9122381648338633
5,RF,40,0.8375478846070477
5,XGBoost,40,0.8560089340209786
5,SVR,40,0.7822463857935106
5,Ridge,40,0.41187011818634667
5,GBR,40,0.6952018840853862
5,MLP,40,-0.3883694539843179
5,TabPFN,45,0.9118104854664785
5,RF,45,0.8684218033756097
5,XGBoost,45,0.8629746903456537
5,SVR,45,0.7770366761224339
5,Ridge,45,0.43713990251533696
5,GBR,45,0.7243003284702365
5,MLP,45,0.40032966920752966
5,TabPFN,48,0.9041694640578372
5,RF,48,0.8239579810921641
5,XGBoost,48,0.8366430163385785
5,SVR,48,0.7767449819165255
5,Ridge,48,0.39902250722228383
5,GBR,48,0.73096517381757
5,MLP,48,-0.37290555850553253
6,TabPFN,10,0.8752096596536328
6,RF,10,0.8080840029708591
6,XGBoost,10,-0.3848971363105804
6,SVR,10,0.6331035853195288
6,Ridge,10,0.35729867471530385
6,GBR,10,0.7071234733118011
6,MLP,10,-0.6526520231679587
6,TabPFN,15,0.9354696869000789
6,RF,15,0.8934924536528799
6,XGBoost,15,0.2604013279712798
6,SVR,15,0.39565606951967025
6,Ridge,15,-4.17070199120523
6,GBR,15,0.7923463617598361
6,MLP,15,-10.790035569141303
6,TabPFN,20,0.9430507954335192
6,RF,20,0.8960742143264145
6,XGBoost,20,0.9222364279985822
6,SVR,20,0.5046030674599931
6,Ridge,20,0.2716520700027728
6,GBR,20,0.9058642004607235
6,MLP,20,-2.4124280509267058
6,TabPFN,25,0.9543190666721035
6,RF,25,0.8873282530866912
6,XGBoost,25,0.7518762061467124
6,SVR,25,0.6062609706400135
6,Ridge,25,0.7262596064351645
6,GBR,25,0.8730573287180207
6,MLP,25,0.4873928997240007
6,TabPFN,30,0.9519503780886436
6,RF,30,0.8773784265557143
6,XGBoost,30,0.903921103334109
6,SVR,30,0.5656982260844963
6,Ridge,30,0.39987255662791676
6,GBR,30,0.8268296672362336
6,MLP,30,-0.12245369003648232
6,TabPFN,35,0.9575844600456296
6,RF,35,0.8926771371280102
6,XGBoost,35,0.901712832044443
6,SVR,35,0.5349035593494949
6,Ridge,35,0.44527365890355897
6,GBR,35,0.8537450941888891
6,MLP,35,0.3971980678867748
6,TabPFN,40,0.9675314131902023
6,RF,40,0.9457495060068717
6,XGBoost,40,0.9292327000365669
6,SVR,40,0.7331769327364945
6,Ridge,40,0.5065770727634378
6,GBR,40,0.9078997999890989
6,MLP,40,0.7200981167601177
6,TabPFN,45,0.9713989105503493
6,RF,45,0.9289918525853484
6,XGBoost,45,0.9129810265523521
6,SVR,45,0.72119208272426
6,Ridge,45,0.5714004041897555
6,GBR,45,0.8610432307093343
6,MLP,45,0.7571839561389573
6,TabPFN,48,0.9697414741328644
6,RF,48,0.9327229816675355
6,XGBoost,48,0.9150543286559675
6,SVR,48,0.686043748423163
6,Ridge,48,0.5822569084606277
6,GBR,48,0.8802297914170432
6,MLP,48,-2.1023770698888704
7,TabPFN,10,0.7056222973012045
7,RF,10,0.7689734120140255
7,XGBoost,10,0.6704949045709655
7,SVR,10,0.4857711605734216
7,Ridge,10,0.4041248758861571
7,GBR,10,0.8193115131039905
7,MLP,10,-0.025508909542046876
7,TabPFN,15,0.8257002822018827
7,RF,15,0.820953287793186
7,XGBoost,15,0.5894739686667279
7,SVR,15,0.2120989220243843
7,Ridge,15,-1.037416566496117
7,GBR,15,0.9010416927389804
7,MLP,15,-0.5150708796730856
7,TabPFN,20,0.8713794082789519
7,RF,20,0.8445177169451279
7,XGBoost,20,0.5359884609937465
7,SVR,20,0.6279050963607289
7,Ridge,20,0.6393016742634928
7,GBR,20,0.8194075938026782
7,MLP,20,-0.092960518455798
7,TabPFN,25,0.8984037877494748
7,RF,25,0.8572073681054424
7,XGBoost,25,0.9122518942983896
7,SVR,25,0.6438005985033763
7,Ridge,25,0.5151509241030001
7,GBR,25,0.8777432652101493
7,MLP,25,0.12812507188556765
7,TabPFN,30,0.8427811493829116
7,RF,30,0.822995423747979
7,XGBoost,30,0.8965979238677407
7,SVR,30,0.5552644407668895
7,Ridge,30,0.6855176598107391
7,GBR,30,0.8264503597259979
7,MLP,30,0.2891905721929159
7,TabPFN,35,0.8781065391001659
7,RF,35,0.8333919192134924
7,XGBoost,35,0.706245087514264
7,SVR,35,0.5963027100801276
7,Ridge,35,0.521511870296234
7,GBR,35,0.7421964504778189
7,MLP,35,0.39603104155322066
7,TabPFN,40,0.9126405280952284
7,RF,40,0.8612347727034797
7,XGBoost,40,0.8919325333949627
7,SVR,40,0.7767733849405022
7,Ridge,40,0.6020016085405859
7,GBR,40,0.8788582416173926
7,MLP,40,0.6006819302651998
7,TabPFN,45,0.9029163164533297
7,RF,45,0.9024581498626315
7,XGBoost,45,0.9076292275393598
7,SVR,45,0.8053151442839711
7,Ridge,45,0.5735782938730856
7,GBR,45,0.9236011190940888
7,MLP,45,0.5391821322993944
7,TabPFN,48,0.896077862315235
7,RF,48,0.9071187891961576
7,XGBoost,48,0.9028037792031007
7,SVR,48,0.7649760317790575
7,Ridge,48,0.5724261560274582
7,GBR,48,0.9212031668900245
7,MLP,48,0.49545655650871157
8,TabPFN,10,0.752529768917873
8,RF,10,0.5837616917135899
8,XGBoost,10,0.6192134833404419
8,SVR,10,0.47420122045421254
8,Ridge,10,0.26995150204750384
8,GBR,10,0.6263889271357246
8,MLP,10,-0.8668819529680865
8,TabPFN,15,0.9381097799151773
8,RF,15,0.8487571202025996
8,XGBoost,15,0.7866928352619874
8,SVR,15,0.7028714649420231
8,Ridge,15,0.6777659664728173
8,GBR,15,0.8255803167878866
8,MLP,15,-1.4363754147519772
8,TabPFN,20,0.9072651177215962
8,RF,20,0.8590879050287245
8,XGBoost,20,0.7918679922458498
8,SVR,20,0.8538030461643051
8,Ridge,20,0.5964303729374988
8,GBR,20,0.8297848395355653
