fold,model,n_train,R2
1,GBR,35,0.07106265715025539
1,MLP,35,-2.142049861436621
1,TabPFN,40,0.34679020506009506
1,RF,40,0.4382455550670008
1,XGBoost,40,0.3445750208182258
1,SVR,40,-0.22128757653458364
1,Ridge,40,-0.05967474782344184
1,GBR,40,0.27631239102952554
1,MLP,40,-1.4628319299976265
1,TabPFN,45,0.3861940180313539
1,RF,45,0.37354530762807303
1,XGBoost,45,0.15354026421121325
1,SVR,45,-0.07372894292606103
1,Ridge,45,-0.279468087939035
1,GBR,45,0.28275806055851493
1,MLP,45,-1.3841541019936852
1,TabPFN,48,0.3791599574441028
1,RF,48,0.4463574215778435
1,XGBoost,48,0.1985791802988125
1,SVR,48,-0.20060059489328985
1,Ridge,48,-0.4625768507690251
1,GBR,48,0.3362801202231738
1,MLP,48,-1.3943911911998428
2,TabPFN,10,0.4778833456281295
2,RF,10,0.5448813378000286
2,XGBoost,10,0.13947697425423955
2,SVR,10,-0.8909189174441081
2,Ridge,10,0.2077471149423008
2,GBR,10,0.11834167687010122
2,MLP,10,-1.385455821103411
2,TabPFN,15,0.5362747140049551
2,RF,15,0.6507071402649176
2,XGBoost,15,0.23402847423801332
2,SVR,15,0.2786293090970192
2,Ridge,15,0.1665364820802928
2,GBR,15,0.5155778766717802
2,MLP,15,-0.7233249413053608
2,TabPFN,20,0.7769731387374685
2,RF,20,0.7220821635451498
2,XGBoost,20,0.6572352570712461
2,SVR,20,0.5179313092122135
2,Ridge,20,0.40189418259073306
2,GBR,20,0.596433212306615
2,MLP,20,0.1670954841649831
2,TabPFN,25,0.7943057573207092
2,RF,25,0.6236845995534174
2,XGBoost,25,0.3396455527928942
2,SVR,25,0.7086247043685439
2,Ridge,25,0.5931292444094843
2,GBR,25,0.30760918298969064
2,MLP,25,-0.774242326391122
2,TabPFN,30,0.6579528144803484
2,RF,30,0.6800260974005745
2,XGBoost,30,0.5024477100460556
2,SVR,30,0.4235209095566087
2,Ridge,30,0.5178118938908319
2,GBR,30,0.5947928245020206
2,MLP,30,-2.049835728837815
2,TabPFN,35,0.7975322130513977
2,RF,35,0.7512772287872901
2,XGBoost,35,0.6312000064750329
2,SVR,35,0.42824210497569526
2,Ridge,35,0.6169360960626057
2,GBR,35,0.6653547314931402
2,MLP,35,0.5326004846042952
2,TabPFN,40,0.7841632538677512
2,RF,40,0.644475059598492
2,XGBoost,40,0.37387889172187216
2,SVR,40,0.6484086466463312
