fold,model,mode,R2,RMSE,MAE,time_s
29,SVR,default,0.7022114603853216,0.39861838067364064,0.23673033173346023,0.0
29,SVR,bo,0.7277235053827711,0.3811609546033026,0.2506014265726976,0.17409229278564453
29,KNN,default,0.7160694495848922,0.3892327662626911,0.27440963455657036,0.0
29,KNN,bo,0.7822456248210958,0.3408684261948338,0.2625690395114915,0.12688517570495605
29,RF,default,0.9585110016483837,0.14878865078057688,0.11971697107383579,0.07913875579833984
29,RF,bo,0.9644568367388897,0.13771503879948593,0.1093300118140269,10.719410181045532
29,GBR,default,0.923820896789794,0.2016142657388769,0.16010910615551513,0.03159832954406738
29,GBR,bo,0.940523924432074,0.17814534677121555,0.1510881359306656,4.335106372833252
29,XGBoost,default,0.8938465853980724,0.2379963600049577,0.1929968768849943,0.07933759689331055
29,XGBoost,bo,0.9238945172959444,0.20151682082613726,0.16512726337939224,4.249406576156616
29,AdaBoost,default,0.9623831276074855,0.14167547341171005,0.11653802791383444,0.1180274486541748
29,AdaBoost,bo,0.9571986251696057,0.15112356507384306,0.13009896988360994,9.26054859161377
29,MLP,default,-0.697445051881755,0.951702462196207,0.7763247151981734,0.0
29,MLP,bo,0.7371259251553353,0.3745218924692863,0.26207053586096973,8.538075685501099
30,TabPFN,zero-shot,0.8449438898109927,0.21711920586198782,0.15605264230239071,8.3894202709198
30,Ridge,default,0.21240205992572547,0.4893347804485031,0.38382829805171254,0.0
30,Ridge,bo,0.26946644131429376,0.4712744387813941,0.374785027512476,0.06334996223449707
30,Lasso,default,0.2002112932615533,0.49310730140413445,0.3917430217392897,0.015799522399902344
30,Lasso,bo,0.3616907905855552,0.44052377745925386,0.37437755365875863,0.07087039947509766
30,ElasticNet,default,0.1731162836612764,0.5013904055509629,0.3921743020616513,0.0005323886871337891
30,ElasticNet,bo,0.2511492347298312,0.47714616586874975,0.37882901263583024,0.0702517032623291
30,SVR,default,0.8913683952156966,0.1817322054357144,0.12376670063064264,0.0
30,SVR,bo,0.7042708745750093,0.29984778766106696,0.26699696266080725,0.22156715393066406
30,KNN,default,0.741647116884987,0.28025957277767843,0.2146005268591683,0.0
30,KNN,bo,0.8206597481151034,0.2335031195976583,0.17551235708210414,0.1282672882080078
30,RF,default,0.8355849640776143,0.22357568254041416,0.17314542776461692,0.08845162391662598
30,RF,bo,0.84479761840819,0.21722159087778406,0.17109687590425401,10.707695245742798
30,GBR,default,0.7531754905687086,0.273935262480767,0.21096111975828236,0.047501564025878906
30,GBR,bo,0.8298017186712145,0.22747380098023903,0.1699857293564857,5.159402370452881
30,XGBoost,default,0.7984421058529647,0.24754474168531587,0.19532971020457868,0.07926011085510254
30,XGBoost,bo,0.8782448081425568,0.1923966669405136,0.15166837906755729,3.671048879623413
30,AdaBoost,default,0.8058362117444631,0.24296175600952702,0.18192824278167308,0.09453392028808594
30,AdaBoost,bo,0.8478787402624122,0.21505460965738107,0.14088008429565768,9.516026496887207
30,MLP,default,0.16949700153188163,0.5024865040227319,0.34816410288462807,0.015814781188964844
30,MLP,bo,0.349452314877739,0.4447268673396359,0.3352866279841831,8.552797794342041
31,TabPFN,zero-shot,0.8756345110161471,0.2677889806113245,0.20953133690449602,8.487341165542603
31,Ridge,default,0.535429034748382,0.51756963977411,0.40484907005336773,0.0
31,Ridge,bo,0.5220835479297525,0.5249509811109399,0.4017073354704006,0.06318998336791992
31,Lasso,default,0.4629969278148255,0.5564564058219785,0.4264598613351826,0.0
31,Lasso,bo,0.4909522987858036,0.5417787931427231,0.4228754323090409,0.07900214195251465
31,ElasticNet,default,0.49950587846068706,0.5372077280270934,0.40897839112572926,0.0
31,ElasticNet,bo,0.5020663874296342,0.535831798775483,0.4178995958390772,0.08368206024169922
31,SVR,default,0.5100689734254097,0.5315085228380859,0.41514499850598424,0.0
31,SVR,bo,0.5018118076119764,0.5359687593327894,0.3983361926694588,0.13604068756103516
31,KNN,default,0.7017026819072043,0.4147318944405768,0.351146876643464,0.0
31,KNN,bo,0.706809296542118,0.41116662859816955,0.3690583961256042,0.1429746150970459
31,RF,default,0.8230637006043836,0.3194120021444165,0.2669573500821972,0.07947301864624023
