TabPFN,Ridge,Lasso,ElasticNet,SVR,KNN,RF,GBR,XGBoost,AdaBoost,MLP
0.6895558366853008,0.5665139865350128,0.5816381190050377,0.5743712264667247,0.7473152809808496,0.5120130146066411,0.768869045232265,0.7337760985800815,0.7643568287507351,0.786659393999427,0.5649085746071301
0.8676774851125366,0.7897295937353218,0.7805852947014842,0.7849725365831739,0.8069297015008567,0.8262476519789717,0.7788198646404063,0.8078429249606274,0.8626284455474561,0.6835737251338388,-5.4790222047351875
0.7603758521500523,0.6854988451453771,0.6837269990199383,0.6855676632158241,0.7760068563353795,0.6746704259752643,0.8110786026203954,0.7997957856683237,0.8054507146694718,0.7562392636195471,0.6370893335856943
0.7792074392439446,0.6537999545265056,0.6634430090603902,0.6610137679733139,0.7478662761055788,0.741097163992133,0.8515258816523457,0.8951532489506905,0.825008676777562,0.8285611828142795,0.7444633977823616
0.7877367466991703,0.6919184915716002,0.7064742030866709,0.6983761529347625,0.7114622515102784,0.7508553082037691,0.8047950268542539,0.8100421245133804,0.79255776567409,0.8084324008509272,0.6341028833253928
0.7749908656089974,0.7621324591913352,0.7697104353386354,0.7666237343812529,0.38536557865219123,0.6770244464621016,0.7864090139253375,0.8046737511767132,0.7507014742010695,0.7835946723697964,-14.562271635257838
0.697127716410613,0.622300463317401,0.6264917143410536,0.6223568397689396,0.7253687731489437,0.5637756342652129,0.7526223586376195,0.7179070521239929,0.7226522567967755,0.7058053510235625,0.6668133020043
0.8179448465164448,0.7091984275265977,0.7087434308949715,0.7086836139355076,0.6891795935753008,0.7129685855549959,0.8373870174029067,0.8322523281850713,0.859990006313286,0.8278537464314907,0.5243235069329446
0.7456013033656183,0.76035631074078,0.7407063048406965,0.7492159440893826,0.5938026541430623,0.8617382220470128,0.7572923222265242,0.6519642902455652,0.7087272532504547,0.7491446210863586,0.5637347700080929
0.6661164841271313,0.6246835043640311,0.6279255690851937,0.6268464868170784,0.7024317371084463,0.6102381764541955,0.7566293694165557,0.7572757179992093,0.7725858264707266,0.7687863301727714,0.723847444082742
0.8626728191901382,0.8986506595221411,0.8988769588495034,0.899105685982453,0.7261105446923387,0.8242751418851115,0.7994248790918095,0.7476313578606087,0.8185834687986712,0.7580562480753458,0.7815578036235462
0.851702815713191,0.7601539743403515,0.7553433018731963,0.7567826389461105,0.7877489381062673,0.783325021139211,0.7225936443172337,0.5687039246890262,0.7758255016889869,0.7330200883428211,0.44633489910228186
0.7240067808514109,0.5975260005385024,0.619193885585059,0.6074907163243537,0.3148014472562223,0.5620000632526776,0.7729955563400837,0.8142252403339613,0.8300542497698553,0.7757147919508849,-0.004956717698619828
0.8280657868345949,0.7415629485316684,0.7344703041719789,0.739482222493699,0.641453582928635,0.7344217234047373,0.8499661919619594,0.8155918863874132,0.7652423789215976,0.8437038217525284,0.5116213986036356
0.6254155164514323,0.6705228845473812,0.6711535029084185,0.6686794936478437,0.6879980478302141,0.7145425173423994,0.7000555592292261,0.6745672009135798,0.7107247927773153,0.6922460153258093,0.7275114088416967
0.6514126109782009,0.5725973311157291,0.5734359156180975,0.5733836548550697,0.6337395002945402,0.6191674871843124,0.6628799720581668,0.6399178208951537,0.6767063172049084,0.7073209616307738,-10.898509947330414
