fold,idx,alpha,y_obs,y_pred,xc_lo,xc_hi,xc_cov,xc_wid,xc_is
0,48,0.010000,2.398044,2.305531,1.690824,2.920237,1,1.229413,1.229413
0,50,0.010000,1.212188,1.383645,0.768938,1.998351,1,1.229413,1.229413
0,54,0.010000,0.404834,0.696691,0.081984,1.311397,1,1.229413,1.229413
0,57,0.010000,1.975432,1.867979,1.253272,2.482685,1,1.229413,1.229413
1,3,0.500000,0.447158,0.487224,0.371838,0.602610,1,0.230773,0.230773
1,4,0.500000,2.455439,2.717728,2.602342,2.833115,0,0.230773,0.818385
1,6,0.500000,1.769451,1.551421,1.436035,1.666808,0,0.230773,0.641347
1,8,0.500000,2.261120,2.412349,2.296963,2.527735,0,0.230773,0.374143
1,17,0.500000,2.221023,2.100437,1.985050,2.215823,0,0.230773,0.251572
1,19,0.500000,2.018617,1.954912,1.839525,2.070298,1,0.230773,0.230773
1,31,0.500000,1.869935,2.064345,1.948958,2.179731,0,0.230773,0.546865
1,34,0.500000,1.905256,2.008008,1.892622,2.123395,1,0.230773,0.230773
1,40,0.500000,0.558709,0.778049,0.662663,0.893436,0,0.230773,0.646591
1,43,0.500000,0.914343,1.137414,1.022028,1.252801,0,0.230773,0.661512
1,52,0.500000,1.466126,1.682734,1.567347,1.798120,0,0.230773,0.635659
1,58,0.500000,2.211227,2.788230,2.672844,2.903616,0,0.230773,2.077237
1,3,0.400000,0.447158,0.487224,0.331693,0.642755,1,0.311061,0.311061
1,4,0.400000,2.455439,2.717728,2.562198,2.873259,0,0.311061,0.844855
1,6,0.400000,1.769451,1.551421,1.395891,1.706952,0,0.311061,0.623558
1,8,0.400000,2.261120,2.412349,2.256818,2.567880,1,0.311061,0.311061
1,17,0.400000,2.221023,2.100437,1.944906,2.255967,1,0.311061,0.311061
1,19,0.400000,2.018617,1.954912,1.799381,2.110442,1,0.311061,0.311061
1,31,0.400000,1.869935,2.064345,1.908814,2.219875,0,0.311061,0.505456
1,34,0.400000,1.905256,2.008008,1.852478,2.163539,1,0.311061,0.311061
1,40,0.400000,0.558709,0.778049,0.622519,0.933580,0,0.311061,0.630113
1,43,0.400000,0.914343,1.137414,0.981884,1.292945,0,0.311061,0.648764
1,52,0.400000,1.466126,1.682734,1.527203,1.838264,0,0.311061,0.616448
1,58,0.400000,2.211227,2.788230,2.632699,2.943760,0,0.311061,2.418421
1,3,0.300000,0.447158,0.487224,0.292333,0.682115,1,0.389783,0.389783
1,4,0.300000,2.455439,2.717728,2.522837,2.912619,0,0.389783,0.839103
1,6,0.300000,1.769451,1.551421,1.356530,1.746312,0,0.389783,0.544041
1,8,0.300000,2.261120,2.412349,2.217458,2.607240,1,0.389783,0.389783
1,17,0.300000,2.221023,2.100437,1.905545,2.295328,1,0.389783,0.389783
1,19,0.300000,2.018617,1.954912,1.760020,2.149803,1,0.389783,0.389783
1,31,0.300000,1.869935,2.064345,1.869454,2.259236,1,0.389783,0.389783
1,34,0.300000,1.905256,2.008008,1.813117,2.202900,1,0.389783,0.389783
1,40,0.300000,0.558709,0.778049,0.583158,0.972941,0,0.389783,0.552780
1,43,0.300000,0.914343,1.137414,0.942523,1.332306,0,0.389783,0.577649
1,52,0.300000,1.466126,1.682734,1.487842,1.877625,0,0.389783,0.534560
1,58,0.300000,2.211227,2.788230,2.593339,2.983121,0,0.389783,2.937191
1,3,0.200000,0.447158,0.487224,0.240341,0.734107,1,0.493766,0.493766
1,4,0.200000,2.455439,2.717728,2.470845,2.964611,0,0.493766,0.647831
1,6,0.200000,1.769451,1.551421,1.304538,1.798304,1,0.493766,0.493766
1,8,0.200000,2.261120,2.412349,2.165466,2.659232,1,0.493766,0.493766
1,17,0.200000,2.221023,2.100437,1.853554,2.347320,1,0.493766,0.493766
1,19,0.200000,2.018617,1.954912,1.708029,2.201795,1,0.493766,0.493766
1,31,0.200000,1.869935,2.064345,1.817462,2.311228,1,0.493766,0.493766
1,34,0.200000,1.905256,2.008008,1.761125,2.254891,1,0.493766,0.493766
1,40,0.200000,0.558709,0.778049,0.531167,1.024932,1,0.493766,0.493766
1,43,0.200000,0.914343,1.137414,0.890531,1.384297,1,0.493766,0.493766
1,52,0.200000,1.466126,1.682734,1.435851,1.929617,1,0.493766,0.493766
1,58,0.200000,2.211227,2.788230,2.541347,3.035113,0,0.493766,3.794962
1,3,0.150000,0.447158,0.487224,0.212666,0.761782,1,0.549117,0.549117
1,4,0.150000,2.455439,2.717728,2.443170,2.992287,1,0.549117,0.549117
1,6,0.150000,1.769451,1.551421,1.276863,1.825980,1,0.549117,0.549117
1,8,0.150000,2.261120,2.412349,2.137791,2.686907,1,0.549117,0.549117
1,17,0.150000,2.221023,2.100437,1.825878,2.374995,1,0.549117,0.549117
1,19,0.150000,2.018617,1.954912,1.680353,2.229470,1,0.549117,0.549117
1,31,0.150000,1.869935,2.064345,1.789786,2.338903,1,0.549117,0.549117
1,34,0.150000,1.905256,2.008008,1.733450,2.282567,1,0.549117,0.549117
1,40,0.150000,0.558709,0.778049,0.503491,1.052608,1,0.549117,0.549117
1,43,0.150000,0.914343,1.137414,0.862856,1.411973,1,0.549117,0.549117
1,52,0.150000,1.466126,1.682734,1.408175,1.957292,1,0.549117,0.549117
1,58,0.150000,2.211227,2.788230,2.513672,3.062788,0,0.549117,4.581706
1,3,0.100000,0.447158,0.487224,0.199953,0.774495,1,0.574542,0.574542
1,4,0.100000,2.455439,2.717728,2.430457,3.004999,1,0.574542,0.574542
1,6,0.100000,1.769451,1.551421,1.264150,1.838692,1,0.574542,0.574542
1,8,0.100000,2.261120,2.412349,2.125078,2.699620,1,0.574542,0.574542
1,17,0.100000,2.221023,2.100437,1.813165,2.387708,1,0.574542,0.574542
1,19,0.100000,2.018617,1.954912,1.667640,2.242183,1,0.574542,0.574542
1,31,0.100000,1.869935,2.064345,1.777074,2.351616,1,0.574542,0.574542
1,34,0.100000,1.905256,2.008008,1.720737,2.295279,1,0.574542,0.574542
1,40,0.100000,0.558709,0.778049,0.490778,1.065321,1,0.574542,0.574542
1,43,0.100000,0.914343,1.137414,0.850143,1.424686,1,0.574542,0.574542
1,52,0.100000,1.466126,1.682734,1.395463,1.970005,1,0.574542,0.574542
1,58,0.100000,2.211227,2.788230,2.500959,3.075501,0,0.574542,6.369169
1,3,0.050000,0.447158,0.487224,0.061485,0.912963,1,0.851477,0.851477
1,4,0.050000,2.455439,2.717728,2.291990,3.143467,1,0.851477,0.851477
1,6,0.050000,1.769451,1.551421,1.125683,1.977160,1,0.851477,0.851477
1,8,0.050000,2.261120,2.412349,1.986610,2.838088,1,0.851477,0.851477
1,17,0.050000,2.221023,2.100437,1.674698,2.526175,1,0.851477,0.851477
1,19,0.050000,2.018617,1.954912,1.529173,2.380650,1,0.851477,0.851477
1,31,0.050000,1.869935,2.064345,1.638606,2.490083,1,0.851477,0.851477
1,34,0.050000,1.905256,2.008008,1.582270,2.433747,1,0.851477,0.851477
1,40,0.050000,0.558709,0.778049,0.352311,1.203788,1,0.851477,0.851477
1,43,0.050000,0.914343,1.137414,0.711676,1.563153,1,0.851477,0.851477
1,52,0.050000,1.466126,1.682734,1.256995,2.108472,1,0.851477,0.851477
1,58,0.050000,2.211227,2.788230,2.362491,3.213968,0,0.851477,6.902039
1,3,0.010000,0.447158,0.487224,0.002664,0.971784,1,0.969119,0.969119
1,4,0.010000,2.455439,2.717728,2.233168,3.202288,1,0.969119,0.969119
1,6,0.010000,1.769451,1.551421,1.066861,2.035981,1,0.969119,0.969119
1,8,0.010000,2.261120,2.412349,1.927789,2.896909,1,0.969119,0.969119
1,17,0.010000,2.221023,2.100437,1.615877,2.584996,1,0.969119,0.969119
1,19,0.010000,2.018617,1.954912,1.470352,2.439471,1,0.969119,0.969119
1,31,0.010000,1.869935,2.064345,1.579785,2.548905,1,0.969119,0.969119
1,34,0.010000,1.905256,2.008008,1.523449,2.492568,1,0.969119,0.969119
1,40,0.010000,0.558709,0.778049,0.293490,1.262609,1,0.969119,0.969119
1,43,0.010000,0.914343,1.137414,0.652855,1.621974,1,0.969119,0.969119
1,52,0.010000,1.466126,1.682734,1.198174,2.167293,1,0.969119,0.969119
1,58,0.010000,2.211227,2.788230,2.303670,3.272790,0,0.969119,19.457701
2,9,0.500000,0.450249,0.499498,0.388604,0.610391,1,0.221786,0.221786
2,11,0.500000,0.895423,0.795454,0.684561,0.906347,1,0.221786,0.221786
2,15,0.500000,1.258158,1.228532,1.117639,1.339425,1,0.221786,0.221786
2,16,0.500000,1.821841,1.482857,1.371964,1.593750,0,0.221786,1.134149
2,24,0.500000,0.673021,0.736869,0.625976,0.847762,1,0.221786,0.221786
2,25,0.500000,2.817764,2.451492,2.340599,2.562385,0,0.221786,1.243301
2,26,0.500000,2.195346,1.931597,1.820704,2.042490,0,0.221786,0.833209
2,27,0.500000,2.035870,2.052529,1.941636,2.163422,1,0.221786,0.221786
2,30,0.500000,1.832062,1.881363,1.770470,1.992256,1,0.221786,0.221786
2,32,0.500000,1.992995,1.989279,1.878386,2.100172,1,0.221786,0.221786
2,55,0.500000,0.899821,0.723553,0.612660,0.834446,0,0.221786,0.483282
2,56,0.500000,1.193125,1.138239,1.027346,1.249132,1,0.221786,0.221786
2,9,0.400000,0.450249,0.499498,0.361909,0.637086,1,0.275177,0.275177
2,11,0.400000,0.895423,0.795454,0.657865,0.933042,1,0.275177,0.275177
2,15,0.400000,1.258158,1.228532,1.090943,1.366120,1,0.275177,0.275177
2,16,0.400000,1.821841,1.482857,1.345269,1.620446,0,0.275177,1.282154
2,24,0.400000,0.673021,0.736869,0.599280,0.874457,1,0.275177,0.275177
2,25,0.400000,2.817764,2.451492,2.313904,2.589080,0,0.275177,1.418594
2,26,0.400000,2.195346,1.931597,1.794009,2.069186,0,0.275177,0.905979
2,27,0.400000,2.035870,2.052529,1.914941,2.190117,1,0.275177,0.275177
2,30,0.400000,1.832062,1.881363,1.743775,2.018951,1,0.275177,0.275177
2,32,0.400000,1.992995,1.989279,1.851690,2.126867,1,0.275177,0.275177
2,55,0.400000,0.899821,0.723553,0.585965,0.861142,0,0.275177,0.468570
2,56,0.400000,1.193125,1.138239,1.000650,1.275827,1,0.275177,0.275177
2,9,0.300000,0.450249,0.499498,0.340753,0.658242,1,0.317489,0.317489
2,11,0.300000,0.895423,0.795454,0.636709,0.954198,1,0.317489,0.317489
2,15,0.300000,1.258158,1.228532,1.069787,1.387276,1,0.317489,0.317489
2,16,0.300000,1.821841,1.482857,1.324113,1.641602,0,0.317489,1.519084
2,24,0.300000,0.673021,0.736869,0.578124,0.895613,1,0.317489,0.317489
2,25,0.300000,2.817764,2.451492,2.292747,2.610236,0,0.317489,1.701005
2,26,0.300000,2.195346,1.931597,1.772853,2.090342,0,0.317489,1.017518
2,27,0.300000,2.035870,2.052529,1.893784,2.211273,1,0.317489,0.317489
2,30,0.300000,1.832062,1.881363,1.722619,2.040108,1,0.317489,0.317489
2,32,0.300000,1.992995,1.989279,1.830534,2.148023,1,0.317489,0.317489
2,55,0.300000,0.899821,0.723553,0.564809,0.882298,0,0.317489,0.434306
2,56,0.300000,1.193125,1.138239,0.979494,1.296983,1,0.317489,0.317489
2,9,0.200000,0.450249,0.499498,0.273143,0.725852,1,0.452709,0.452709
2,11,0.200000,0.895423,0.795454,0.569099,1.021808,1,0.452709,0.452709
2,15,0.200000,1.258158,1.228532,1.002177,1.454886,1,0.452709,0.452709
2,16,0.200000,1.821841,1.482857,1.256503,1.709212,0,0.452709,1.579001
2,24,0.200000,0.673021,0.736869,0.510514,0.963223,1,0.452709,0.452709
2,25,0.200000,2.817764,2.451492,2.225137,2.677846,0,0.452709,1.851882
2,26,0.200000,2.195346,1.931597,1.705243,2.157952,0,0.452709,0.826652
2,27,0.200000,2.035870,2.052529,1.826174,2.278883,1,0.452709,0.452709
2,30,0.200000,1.832062,1.881363,1.655009,2.107718,1,0.452709,0.452709
2,32,0.200000,1.992995,1.989279,1.762924,2.215633,1,0.452709,0.452709
2,55,0.200000,0.899821,0.723553,0.497199,0.949908,1,0.452709,0.452709
2,56,0.200000,1.193125,1.138239,0.911884,1.364593,1,0.452709,0.452709
2,9,0.150000,0.450249,0.499498,0.234135,0.764860,1,0.530724,0.530724
2,11,0.150000,0.895423,0.795454,0.530091,1.060816,1,0.530724,0.530724
2,15,0.150000,1.258158,1.228532,0.963169,1.493894,1,0.530724,0.530724
2,16,0.150000,1.821841,1.482857,1.217495,1.748219,0,0.530724,1.512344
2,24,0.150000,0.673021,0.736869,0.471507,1.002231,1,0.530724,0.530724
2,25,0.150000,2.817764,2.451492,2.186130,2.716854,0,0.530724,1.876185
2,26,0.150000,2.195346,1.931597,1.666235,2.196959,1,0.530724,0.530724
2,27,0.150000,2.035870,2.052529,1.787167,2.317891,1,0.530724,0.530724
2,30,0.150000,1.832062,1.881363,1.616001,2.146725,1,0.530724,0.530724
2,32,0.150000,1.992995,1.989279,1.723917,2.254641,1,0.530724,0.530724
2,55,0.150000,0.899821,0.723553,0.458191,0.988916,1,0.530724,0.530724
2,56,0.150000,1.193125,1.138239,0.872877,1.403601,1,0.530724,0.530724
2,9,0.100000,0.450249,0.499498,0.142994,0.856001,1,0.713006,0.713006
2,11,0.100000,0.895423,0.795454,0.438951,1.151957,1,0.713006,0.713006
2,15,0.100000,1.258158,1.228532,0.872029,1.585035,1,0.713006,0.713006
2,16,0.100000,1.821841,1.482857,1.126354,1.839360,1,0.713006,0.713006
2,24,0.100000,0.673021,0.736869,0.380366,1.093372,1,0.713006,0.713006
2,25,0.100000,2.817764,2.451492,2.094989,2.807995,0,0.713006,0.908381
2,26,0.100000,2.195346,1.931597,1.575094,2.288100,1,0.713006,0.713006
2,27,0.100000,2.035870,2.052529,1.696026,2.409032,1,0.713006,0.713006
2,30,0.100000,1.832062,1.881363,1.524860,2.237866,1,0.713006,0.713006
2,32,0.100000,1.992995,1.989279,1.632776,2.345782,1,0.713006,0.713006
2,55,0.100000,0.899821,0.723553,0.367050,1.080056,1,0.713006,0.713006
2,56,0.100000,1.193125,1.138239,0.781736,1.494742,1,0.713006,0.713006
2,9,0.050000,0.450249,0.499498,0.010968,0.988027,1,0.977058,0.977058
2,11,0.050000,0.895423,0.795454,0.306925,1.283983,1,0.977058,0.977058
2,15,0.050000,1.258158,1.228532,0.740003,1.717061,1,0.977058,0.977058
2,16,0.050000,1.821841,1.482857,0.994328,1.971386,1,0.977058,0.977058
2,24,0.050000,0.673021,0.736869,0.248340,1.225398,1,0.977058,0.977058
2,25,0.050000,2.817764,2.451492,1.962963,2.940021,1,0.977058,0.977058
2,26,0.050000,2.195346,1.931597,1.443068,2.420126,1,0.977058,0.977058
2,27,0.050000,2.035870,2.052529,1.564000,2.541058,1,0.977058,0.977058
2,30,0.050000,1.832062,1.881363,1.392834,2.369892,1,0.977058,0.977058
2,32,0.050000,1.992995,1.989279,1.500750,2.477808,1,0.977058,0.977058
2,55,0.050000,0.899821,0.723553,0.235024,1.212083,1,0.977058,0.977058
2,56,0.050000,1.193125,1.138239,0.649710,1.626768,1,0.977058,0.977058
2,9,0.010000,0.450249,0.499498,-0.066317,1.065312,1,1.131628,1.131628
2,11,0.010000,0.895423,0.795454,0.229640,1.361268,1,1.131628,1.131628
2,15,0.010000,1.258158,1.228532,0.662718,1.794346,1,1.131628,1.131628
2,16,0.010000,1.821841,1.482857,0.917043,2.048671,1,1.131628,1.131628
2,24,0.010000,0.673021,0.736869,0.171055,1.302683,1,1.131628,1.131628
2,25,0.010000,2.817764,2.451492,1.885678,3.017306,1,1.131628,1.131628
2,26,0.010000,2.195346,1.931597,1.365783,2.497411,1,1.131628,1.131628
2,27,0.010000,2.035870,2.052529,1.486715,2.618343,1,1.131628,1.131628
2,30,0.010000,1.832062,1.881363,1.315549,2.447177,1,1.131628,1.131628
2,32,0.010000,1.992995,1.989279,1.423465,2.555093,1,1.131628,1.131628
2,55,0.010000,0.899821,0.723553,0.157739,1.289368,1,1.131628,1.131628
2,56,0.010000,1.193125,1.138239,0.572425,1.704053,1,1.131628,1.131628
3,1,0.500000,1.028571,0.992039,0.867837,1.116240,1,0.248403,0.248403
3,2,0.500000,0.792392,0.736839,0.612638,0.861041,1,0.248403,0.248403
3,21,0.500000,0.727541,0.815496,0.691294,0.939697,1,0.248403,0.248403
3,23,0.500000,0.730782,0.802556,0.678354,0.926758,1,0.248403,0.248403
3,29,0.500000,1.711132,1.801569,1.677367,1.925771,1,0.248403,0.248403
3,35,0.500000,2.703584,2.754244,2.630042,2.878446,1,0.248403,0.248403
3,37,0.500000,2.177536,2.215977,2.091775,2.340179,1,0.248403,0.248403
3,39,0.500000,1.950170,1.966447,1.842245,2.090649,1,0.248403,0.248403
3,41,0.500000,2.037068,2.285975,2.161773,2.410177,0,0.248403,0.747225
3,44,0.500000,1.184691,1.074353,0.950152,1.198555,1,0.248403,0.248403
3,47,0.500000,0.952792,0.809690,0.685488,0.933892,0,0.248403,0.324007
3,53,0.500000,0.798651,0.651097,0.526896,0.775299,0,0.248403,0.341810
3,1,0.400000,1.028571,0.992039,0.819546,1.164531,1,0.344985,0.344985
3,2,0.400000,0.792392,0.736839,0.564347,0.909332,1,0.344985,0.344985
3,21,0.400000,0.727541,0.815496,0.643003,0.987988,1,0.344985,0.344985
3,23,0.400000,0.730782,0.802556,0.630063,0.975048,1,0.344985,0.344985
